STATE;GRANTEE;OWNER;OBJECT_TYPE;TABLE_NAME;GRANTOR;PRIVILEGE;GRANTABLE;HIERARCHY
O;DBREAD;VBLCZ_BASE_200;VIEW;A_NACEDIVIZE_V;VBLCZ_BASE_200;SELECT;NO;NO
O;DBREAD;VBLCZ_BASE_200;VIEW;A_NACESEKCE_V;VBLCZ_BASE_200;SELECT;NO;NO
O;DBREAD;VBLCZ_BASE_200;VIEW;A_NACE_V;VBLCZ_BASE_200;SELECT;NO;NO
O;DBREAD;VBLCZ_BASE_200;TABLE;A_NASTAVENI_ACIS;VBLCZ_BASE_200;SELECT;NO;NO
O;DBREAD;VBLCZ_BASE_200;TABLE;A_NASTAVENI_CIS;VBLCZ_BASE_200;SELECT;NO;NO
O;DBREAD;VBLCZ_BASE_200;TABLE;AN_OWDKURVEN;VBLCZ_BASE_200;SELECT;NO;NO
O;DBREAD;VBLCZ_BASE_200;TABLE;A_OBJEKTTYP_ACIS;VBLCZ_BASE_200;SELECT;NO;NO
O;DBREAD;VBLCZ_BASE_200;TABLE;A_OBJEKTTYP_CIS;VBLCZ_BASE_200;SELECT;NO;NO
O;DBREAD;VBLCZ_BASE_200;TABLE;A_OKRES;VBLCZ_BASE_200;SELECT;NO;NO
O;DBREAD;VBLCZ_BASE_200;TABLE;A_OKRES_ACIS;VBLCZ_BASE_200;SELECT;NO;NO
O;DBREAD;VBLCZ_BASE_200;TABLE;A_OKRES_CIS;VBLCZ_BASE_200;SELECT;NO;NO
O;DBREAD;VBLCZ_BASE_200;TABLE;A_PARAM_ACIS;VBLCZ_BASE_200;SELECT;NO;NO
O;DBREAD;VBLCZ_BASE_200;TABLE;A_PARAM_CIS;VBLCZ_BASE_200;SELECT;NO;NO
O;DBREAD;VBLCZ_BASE_200;TABLE;A_PERIODA_ACIS;VBLCZ_BASE_200;SELECT;NO;NO
O;DBREAD;VBLCZ_BASE_200;TABLE;A_PERIODA_CIS;VBLCZ_BASE_200;SELECT;NO;NO
O;DBREAD;VBLCZ_BASE_200;TABLE;A_POBOCKA_ACIS;VBLCZ_BASE_200;SELECT;NO;NO
O;DBREAD;VBLCZ_BASE_200;TABLE;A_POBOCKA_CIS;VBLCZ_BASE_200;SELECT;NO;NO
O;DBREAD;VBLCZ_BASE_200;VIEW;A_PRAVNIFORMA_V;VBLCZ_BASE_200;SELECT;NO;NO
O;DBREAD;VBLCZ_BASE_200;TABLE;A_PRILOHA;VBLCZ_BASE_200;SELECT;NO;NO
O;DBREAD;VBLCZ_BASE_200;VIEW;A_PRILOHAPREHLED_V;VBLCZ_BASE_200;SELECT;NO;NO
O;DBREAD;VBLCZ_BASE_200;TABLE;A_PRILOHATYP_ACIS;VBLCZ_BASE_200;SELECT;NO;NO
O;DBREAD;VBLCZ_BASE_200;TABLE;A_PRILOHATYP_CIS;VBLCZ_BASE_200;SELECT;NO;NO
O;DBREAD;VBLCZ_BASE_200;TABLE;A_PSC;VBLCZ_BASE_200;SELECT;NO;NO
O;DBREAD;VBLCZ_BASE_200;TABLE;A_REFISAZBA;VBLCZ_BASE_200;SELECT;NO;NO
O;DBREAD;VBLCZ_BASE_200;TABLE;A_RUADRMISTO;VBLCZ_BASE_200;SELECT;NO;NO
O;DBREAD;VBLCZ_BASE_200;TABLE;A_RUKRAJ60;VBLCZ_BASE_200;SELECT;NO;NO
O;DBREAD;VBLCZ_BASE_200;TABLE;A_RUOBEC;VBLCZ_BASE_200;SELECT;NO;NO
O;DBREAD;VBLCZ_BASE_200;TABLE;A_RUOKRES;VBLCZ_BASE_200;SELECT;NO;NO
O;DBREAD;VBLCZ_BASE_200;MATERIALIZED VIEW;A_RUOKRESPSC_MV;VBLCZ_BASE_200;SELECT;NO;NO
O;DBREAD;VBLCZ_BASE_200;TABLE;A_RUOKRESPSC_MV;VBLCZ_BASE_200;SELECT;NO;NO
O;DBREAD;VBLCZ_BASE_200;TABLE;A_RUORP;VBLCZ_BASE_200;SELECT;NO;NO
O;DBREAD;VBLCZ_BASE_200;TABLE;A_RUPOU;VBLCZ_BASE_200;SELECT;NO;NO
O;DBREAD;VBLCZ_BASE_200;TABLE;A_RUTYPSO_CIS;VBLCZ_BASE_200;SELECT;NO;NO
