STATE;GRANTEE;OWNER;OBJECT_TYPE;TABLE_NAME;GRANTOR;PRIVILEGE;GRANTABLE;HIERARCHY
O;DBREAD;APEX_SOLUS;VIEW;SOLUS_FO;APEX_SOLUS;SELECT;NO;NO
O;DBREAD;APEX_SOLUS;VIEW;SOLUS_IC;APEX_SOLUS;SELECT;NO;NO
