STATE;GRANTEE;OWNER;OBJECT_TYPE;TABLE_NAME;GRANTOR;PRIVILEGE;GRANTABLE;HIERARCHY
O;DBREAD;APEX_SKLAD;TABLE;G_SKLADIFTRANCHE_EXP;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;G_SKLADINSURTYPE_CIS;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;G_SKLADKLIENTADDR_EXP;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;G_SKLADKLIENTEMAIL_EXP;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;G_SKLADKLIENT_EXP;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;G_SKLADKLIENT_EXP_BKP;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;G_SKLADKLIENTIDCARD_EXP;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;G_SKLADKLIENTPHONE_EXP;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;G_SKLADKLIENT_WORK;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;VIEW;G_SKLADLISTUSERJOBRUNNING_V;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;G_SKLADOVERPAID_WORK;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;G_SKLADPLATBA_MV;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;G_SKLADPLATBAVYPPOSL_WORK;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;G_SKLADPLATBAVYP_WORK;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;G_SKLADPLATBA_WORK;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;G_SKLADPOJISTENI_EXP;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;G_SKLADPOPLATKY_WORK;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;G_SKLADPREDMET_EXP;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;G_SKLADPREDMETREF_EXP;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;G_SKLADPREDMET_WORK;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;G_SKLADPRENOS_CIS;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;G_SKLADRAMEC_EXP;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;G_SKLADSMLOUVAACC_EXP;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;G_SKLADSMLOUVAACCUS_EXP;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;G_SKLADSMLOUVA_EXP;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;G_SKLADSMLOUVA_WORK;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;G_SKLADSOFO_EXP;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;G_SKLADSPLATKA_EXP;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;G_SKLADSPLATKAPRVNI_WORK;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;G_SKLADZAJISTENI_EXP;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;G_STAT_CIS;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;G_TYPFINANCOVANI_CIS;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;I_INSSPLNAJHIST_MV;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;I_INSSPLNAJROW_MV;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;I_INSURRISK_MV;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;M_MAJKARTA_MV;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;M_MKARTAPOHYB_MV;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;M_ODPISUCETNI_MV;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;N_ICONN_MV;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;N_ICONNSUMVARTYPES_MV;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;O_EVDDOKLAD_MV;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;O_RUCENI_MV;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;P_OSPDOKLAD_MV;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;TEST;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;T_PAADRESA_MV;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;T_PARTNER_FIRMA_MV;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;T_PARTNER_MV;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;T_PARTNER_OBCAN_MV;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;XQ_RSFSHEAD_MV;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;XQ_RSFSTRANCHE_MV;APEX_SKLAD;SELECT;NO;NO
O;DBREAD;APEX_SKLAD;TABLE;XV_PARATING_MV;APEX_SKLAD;SELECT;NO;NO
