STATE;GRANTEE;OWNER;OBJECT_TYPE;TABLE_NAME;GRANTOR;PRIVILEGE;GRANTABLE;HIERARCHY
O;DBREAD;APEX_HOVORY;TABLE;MOBIL;APEX_HOVORY;SELECT;NO;NO
O;DBREAD;APEX_HOVORY;TABLE;PAUSAL;APEX_HOVORY;SELECT;NO;NO
O;DBREAD;APEX_HOVORY;TABLE;PEVNA;APEX_HOVORY;SELECT;NO;NO
O;DBREAD;APEX_HOVORY;TABLE;PRACCISLA;APEX_HOVORY;SELECT;NO;NO
O;DBREAD;APEX_HOVORY;TABLE;SOUKRCISLA;APEX_HOVORY;SELECT;NO;NO
O;DBREAD;APEX_HOVORY;TABLE;VYUCTOVANI;APEX_HOVORY;SELECT;NO;NO
O;DBREAD;APEX_HOVORY;TABLE;ZHLAVICKA;APEX_HOVORY;SELECT;NO;NO
O;DBREAD;APEX_HOVORY;TABLE;ZHRADKY;APEX_HOVORY;SELECT;NO;NO
